F1,F2,F3,class
700,1500,2600,0
550,1550,2400,0
700,1500,2600,0
700,1600,2700,0
550,1600,2600,0
600,1250,2700,0
550,1200,2500,0
550,1700,2600,0
550,1400,2550,0
600,1600,2600,0
550,2000,2700,0
500,1750,2600,0
650,1600,2700,0
550,1800,2600,0
600,1400,2600,0
550,1400,2600,0
650,1600,2600,0
550,1700,2600,0
600,1400,2600,0
700,1350,2600,0
550,1350,2200,0
600,1400,2200,0
550,1600,2200,0
400,1200,2400,0
600,1200,2300,0
600,1350,2300,0
600,1400,2300,0
500,1400,2360,0
500,1400,2360,0
550,1300,2300,0
650,1200,2300,0
550,1200,2360,0
500,1350,2360,0
500,1200,2300,0
700,1400,2360,0
450,1650,2400,0
500,1450,2400,0
700,1550,2360,0
550,1400,2300,0
750,1500,2360,0
550,1500,2360,0
500,1500,2360,0
600,1400,2360,0
650,1350,2360,0
650,1400,2100,0
650,1350,2100,0
600,1700,2300,0
650,1400,2000,0
600,1800,2300,0
750,1350,2100,0
700,1750,2300,0
600,1300,1900,0
550,1700,2300,0
550,1500,2600,0
600,1350,2300,0
700,1400,2300,0
600,1400,2300,0
700,1300,2300,0
700,1300,2300,0
650,1300,2300,0
700,1350,2300,0
650,1600,2300,0
700,1400,2300,0
500,1900,2300,0
500,1900,2300,0
700,1300,2300,0
700,1400,2300,0
550,1500,2300,0
650,1200,2300,0
600,1850,2300,0
650,1600,2300,0
750,1250,2300,0
650,1200,2500,1
650,1200,2500,1
600,1200,2400,1
650,1200,2600,1
700,1150,2500,1
650,1100,2500,1
700,1200,2400,1
700,1200,2550,1
650,1150,2600,1
650,1150,2500,1
700,1150,2600,1
750,1200,2600,1
600,1200,2600,1
650,1200,2550,1
650,1350,2600,1
600,1200,2500,1
650,1200,2500,1
650,1100,2600,1
650,1050,2400,1
600,1200,2600,1
550,1200,2600,1
750,1300,2500,1
750,1250,2600,1
700,1150,2500,1
750,1200,2600,1
700,1100,2600,1
700,1200,2600,1
600,1000,2400,1
750,1150,2600,1
600,1350,2100,1
700,1300,2150,1
750,1300,2300,1
650,1200,2400,1
700,1250,2150,1
800,1250,2150,1
750,1300,2400,1
650,1550,2150,1
800,1350,2500,1
800,1300,2400,1
600,1350,2150,1
650,1200,2300,1
750,1250,2400,1
650,1300,2400,1
700,1150,2500,1
600,1550,2500,1
700,1300,2500,1
650,1250,2400,1
600,1200,2400,1
700,1300,2200,1
750,1300,2200,1
700,1300,2200,1
700,1200,2200,1
700,1200,2200,1
600,1050,2200,1
600,1100,2200,1
750,1200,2200,1
750,1250,2200,1
750,1250,2200,1
750,1300,2200,1
750,1250,2150,1
750,1300,2200,1
750,1250,2200,1
700,1100,2200,1
750,1300,2300,1
750,1200,2200,1
750,1300,2200,1
700,1200,2100,1
800,1350,2200,1
700,1200,2200,1
800,1300,2200,1
700,1250,2200,1
750,1350,2200,1
700,1250,2200,1
700,1300,2200,1
750,1100,2200,1
700,1200,2200,1
700,1200,2100,1
800,1200,2200,1
750,1400,2400,1
750,1150,2200,1
750,1250,2200,1
750,1300,2200,1
750,1250,2200,1
750,1300,2200,1
750,1200,2200,1
700,1600,2200,1
700,1250,2200,1
700,1300,2200,1
600,1500,2200,1
300,2100,2600,2
300,2100,2750,2
300,2000,2500,2
350,2200,2800,2
300,2200,2700,2
300,2050,2600,2
350,2150,2700,2
300,2100,2750,2
300,2000,2700,2
300,2100,2700,2
300,2100,2700,2
300,2100,2700,2
300,2200,2700,2
350,2200,2700,2
300,2200,2700,2
350,2300,2700,2
300,2150,2700,2
250,2100,2700,2
300,2100,2700,2
350,2100,2700,2
300,1900,2700,2
300,2100,2700,2
300,2200,2700,2
300,2150,2700,2
400,2000,2600,2
400,1900,2400,2
500,2000,2500,2
550,2100,2700,2
450,1900,2400,2
500,2200,2700,2
500,2100,2600,2
500,2100,2650,2
500,2100,2600,2
400,2100,2500,2
400,2000,2700,2
400,1600,2400,2
400,1900,2300,2
400,1800,2400,2
